[37.75, 54.577, 0.489, 1.327, 0.813]
[37.71, 37.575, 54.94, 0.517, 0.737]
[37.631, 55.208, 0.874, 1.286, 0.971]
[37.729, 38.142, 53.991, 54.977, 54.68]
[37.621, 37.686, 37.135, 55.019, 54.863]
[54.604, 54.861, 54.948, 54.666, 54.942]
[37.729, 0.537, 0.467, 0.534, 1.155]

